the	48	7.40%
to	28	4.31%
of	23	3.54%
and	16	2.47%
in	15	2.31%
a	10	1.54%
this	8	1.23%
that	8	1.23%
world	7	1.08%
gold	7	1.08%
would	6	0.92%
with	6	0.92%
s	6	0.92%
as	6	0.92%
were	5	0.77%
system	5	0.77%
how	5	0.77%
currencies	5	0.77%
be	5	0.77%
an	5	0.77%
much	4	0.62%
money	4	0.62%
it	4	0.62%
has	4	0.62%
but	4	0.62%
are	4	0.62%
which	3	0.46%
we	3	0.46%
was	3	0.46%
war	3	0.46%
us	3	0.46%
trade	3	0.46%
they	3	0.46%
their	3	0.46%
richer	3	0.46%
our	3	0.46%
one	3	0.46%
oil	3	0.46%
new	3	0.46%
its	3	0.46%
is	3	0.46%
half	3	0.46%
getting	3	0.46%
ever	3	0.46%
could	3	0.46%
becoming	3	0.46%
at	3	0.46%
years	2	0.31%
woods	2	0.31%
vessel	2	0.31%
very	2	0.31%
understand	2	0.31%
three	2	0.31%
term	2	0.31%
slosh	2	0.31%
secure	2	0.31%
second	2	0.31%
same	2	0.31%
resort	2	0.31%
reserves	2	0.31%
prevent	2	0.31%
plutocracies	2	0.31%
people	2	0.31%
pegged	2	0.31%
part	2	0.31%
ounce	2	0.31%
oligarchies	2	0.31%
not	2	0.31%
long	2	0.31%
keep	2	0.31%
international	2	0.31%
if	2	0.31%
hampshire	2	0.31%
greater	2	0.31%
governments	2	0.31%
for	2	0.31%
flows	2	0.31%
enough	2	0.31%
economies	2	0.31%
economic	2	0.31%
dollars	2	0.31%
countries	2	0.31%
by	2	0.31%
bretton	2	0.31%
between	2	0.31%
back	2	0.31%
always	2	0.31%
all	2	0.31%
after	2	0.31%
35	2	0.31%
yearly	1	0.15%
year	1	0.15%
worked	1	0.15%
words	1	0.15%
within	1	0.15%
wished	1	0.15%
why	1	0.15%
while	1	0.15%
where	1	0.15%
west	1	0.15%
well	1	0.15%
weapon	1	0.15%
wealthy	1	0.15%
wealthiest	1	0.15%
wealthier	1	0.15%
wealth	1	0.15%
way	1	0.15%
waves	1	0.15%
wars	1	0.15%
wanted	1	0.15%
valuable	1	0.15%
using	1	0.15%
up	1	0.15%
until	1	0.15%
united	1	0.15%
undermine	1	0.15%
under	1	0.15%
uncontrolled	1	0.15%
unable	1	0.15%
ultimately	1	0.15%
turned	1	0.15%
turn	1	0.15%
trying	1	0.15%
trend	1	0.15%
treasury	1	0.15%
today	1	0.15%
those	1	0.15%
things	1	0.15%
these	1	0.15%
then	1	0.15%
them	1	0.15%
tells	1	0.15%
